Index,Total Frames,Difference
1392,3334,550
1393,3336,550
1394,3338,550
1395,3340,550
1396,3342,550
1397,3344,550
1398,3346,550
1399,3348,550
1400,3350,550
1401,3352,550
1402,3354,550
1403,3356,550
1404,3358,550
1405,3360,550
1406,3362,550
1407,3364,550
1408,3366,550
1409,3368,550
1410,3370,550
1411,3372,550
1412,3374,550
1413,3376,550
1414,3378,550
1415,3380,550
1416,3382,550
1417,3384,550
1418,3386,550
1419,3388,550
1420,3390,550
1421,3392,550
1422,3394,550
1423,3396,550
1424,3398,550
1425,3400,550
1426,3402,550
1427,3404,550
1428,3406,550
1429,3408,550
1430,3410,550
1431,3412,550
1432,3414,550
1433,3416,550
1434,3418,550
1435,3420,550
1436,3422,550
1437,3424,550
1438,3426,550
1439,3428,550
1440,3430,550
1441,3432,550
1442,3434,550
1443,3436,550
1444,3438,550
1445,3440,550
1446,3442,550
1447,3444,550
1448,3446,550
1449,3448,550
1450,3450,550
1451,3452,550
1452,3454,550
1453,3456,550
1454,3458,550
1455,3460,550
1456,3462,550
1457,3464,550
1458,3466,550
1459,3468,550
1460,3470,550
1461,3472,550
1462,3474,550
1463,3476,550
1464,3478,550
1465,3480,550
1466,3482,550
1467,3484,550
1468,3486,550
1469,3488,550
1470,3490,550
1471,3492,550
1472,3494,550
1473,3496,550
1474,3498,550
1475,3500,550
1476,3502,550
1477,3504,550
1478,3506,550
1479,3508,550
1480,3510,550
1481,3512,550
1482,3514,550
1483,3516,550
1484,3518,550
1485,3520,550
1486,3522,550
1487,3524,550
1488,3526,550
1489,3528,550
1490,3530,550
1491,3532,550
1492,3534,550
1493,3536,550
1494,3538,550
1495,3540,550
1496,3542,550
1497,3544,550
1498,3546,550
1499,3548,550
1500,3550,550
1501,3552,550
1502,3554,550
1503,3556,550
1504,3558,550
1505,3560,550
1506,3562,550
1507,3564,550
1508,3566,550
1509,3568,550
1510,3570,550
1511,3572,550
1512,3574,550
1513,3576,550
1514,3578,550
1515,3580,550
1516,3582,550
1517,3584,550
1518,3586,550
1519,3588,550
1520,3590,550
1521,3592,550
1522,3594,550
1523,3596,550
1524,3598,550
1525,1800,-1250
1526,3602,550
1527,3604,550
1528,3606,550
1529,3608,550
1530,3610,550
1531,3612,550
1532,3614,550
1533,3616,550
1534,3618,550
1535,3620,550
1536,3622,550
1537,3624,550
1538,3626,550
1539,3628,550
1540,3630,550
1541,3632,550
1542,3634,550
1543,3636,550
1544,3638,550
1545,3640,550
1546,3642,550
1547,3644,550
1548,3646,550
1549,3648,550
1550,3650,550
1551,3652,550
1552,3654,550
1553,3656,550
1554,3658,550
1555,3660,550
1556,3662,550
1557,3664,550
1558,3666,550
1559,3668,550
1560,3670,550
1561,3672,550
1562,3674,550
1563,3676,550
1564,3678,550
1565,3680,550
1566,3682,550
1567,3684,550
1568,3686,550
1569,3688,550
1570,3690,550
1571,3692,550
1572,3694,550
1573,3696,550
1574,3698,550
1575,3700,550
1576,3702,550
1577,3704,550
1578,3706,550
1579,3708,550
1580,3710,550
1581,3712,550
1582,3714,550
1583,3716,550
1584,3718,550
1585,3720,550
1586,3722,550
1587,3724,550
1588,3726,550
1589,3728,550
1590,3730,550
1591,3732,550
1592,3734,550
1593,3736,550
1594,3738,550
1595,3740,550
1596,3742,550
1597,3744,550
1598,3746,550
1599,3748,550
1600,3750,550
1601,3752,550
1602,3754,550
1603,3756,550
1604,3758,550
1605,3760,550
1606,3762,550
1607,3764,550
1608,3766,550
1609,3768,550
1610,3770,550
1611,3772,550
1612,3774,550
1613,3776,550
1614,3778,550
1615,3780,550
1616,3782,550
1617,3784,550
1618,3786,550
1619,3788,550
1620,3790,550
1621,3792,550
1622,3794,550
1623,3796,550
1624,3798,550
1625,3800,550
1626,3802,550
1627,3804,550
1628,3806,550
1629,3808,550
1630,3810,550
1631,3812,550
1632,3814,550
1633,3816,550
1634,3818,550
1635,3820,550
1636,3822,550
1637,3824,550
1638,3826,550
1639,3828,550
1640,3830,550
1641,3832,550
1642,3834,550
1643,3836,550
1644,3838,550
1645,3840,550
1646,3842,550
1647,3844,550
1648,3846,550
1649,3848,550
1650,3850,550
1651,3852,550
1652,3854,550
1653,3856,550
1654,3858,550
1655,3860,550
1656,3860,548
1657,3862,548
1658,3864,548
1659,3866,548
1660,3868,548
1661,3870,548
1662,3872,548
1663,3874,548
1664,3876,548
1665,3878,548
1666,3880,548
1667,3882,548
1668,3884,548
1669,3886,548
1670,3888,548
1671,3890,548
1672,3892,548
1673,3894,548
1674,3896,548
1675,3898,548
1676,3900,548
1677,3902,548
1678,3904,548
1679,3906,548
1680,3908,548
1681,3910,548
1682,3912,548
1683,3914,548
1684,3916,548
1685,3918,548
1686,3920,548
1687,3922,548
1688,3924,548
1689,3926,548
1690,3928,548
1691,3930,548
1692,3932,548
1693,3934,548
1694,3936,548
1695,3938,548
1696,3940,548
1697,3942,548
1698,3944,548
1699,3946,548
1700,3948,548
1701,3950,548
1702,3952,548
1703,3954,548
1704,3956,548
1705,3958,548
1706,3960,548
1707,3962,548
1708,3964,548
1709,3966,548
1710,3968,548
1711,3970,548
1712,3972,548
1713,3974,548
1714,3976,548
1715,3978,548
1716,3980,548
1717,3982,548
1718,3984,548
1719,3986,548
1720,3988,548
1721,3990,548
1722,3992,548
1723,3994,548
1724,3996,548
1725,3998,548
1726,4000,548
1727,4002,548
1728,4004,548
1729,4006,548
1730,4008,548
1731,4010,548
1732,4012,548
1733,4014,548
1734,4016,548
1735,4018,548
1736,4020,548
1737,4022,548
1738,4024,548
1739,4026,548
1740,4028,548
1741,4030,548
1742,4032,548
1743,4034,548
1744,4036,548
1745,4038,548
1746,4040,548
1747,4042,548
1748,4044,548
1749,4046,548
1750,4048,548
1751,4050,548
1752,4052,548
1753,4054,548
1754,4056,548
1755,4058,548
1756,4060,548
1757,4062,548
1758,4064,548
1759,4066,548
1760,4068,548
1761,4070,548
1762,4072,548
1763,4074,548
1764,4076,548
1765,4078,548
1766,4080,548
1767,4082,548
1768,4084,548
1769,4086,548
1770,4088,548
1771,4090,548
1772,4092,548
1773,4094,548
1774,4096,548
1775,4098,548
1776,4100,548
1777,4102,548
1778,4104,548
1779,4106,548
1780,4108,548
1781,4110,548
1782,4112,548
1783,4114,548
1784,4116,548
1785,4118,548
1786,4120,548
1787,4122,548
1788,4124,548
1789,4126,548
1790,4128,548
1791,4130,548
1792,4132,548
1793,4134,548
1794,4136,548
1795,4138,548
1796,4140,548
1797,4142,548
1798,4144,548
1799,4146,548
1800,4148,548
1801,4150,548
1802,4152,548
1803,4154,548
1804,4156,548
1805,4158,548
1806,4160,548
1807,4162,548
1808,4164,548
1809,4166,548
1810,4168,548
1811,4170,548
1812,4172,548
1813,4174,548
1814,4176,548
1815,4178,548
1816,4180,548
1817,4182,548
1818,4184,548
1819,4186,548
1820,4188,548
1821,4190,548
1822,4192,548
1823,4194,548
1824,4196,548
1825,4198,548
1826,4200,548
1827,4202,548
1828,4204,548
1829,4206,548
1830,4208,548
1831,4210,548
1832,4212,548
1833,4214,548
1834,4216,548
1835,4218,548
1836,4220,548
1837,4222,548
1838,4224,548
1839,4226,548
1840,4228,548
1841,4230,548
1842,4232,548
1843,4234,548
1844,4236,548
1845,4238,548
1846,4240,548
1847,4242,548
1848,4244,548
1849,4246,548
1850,4248,548
1851,4250,548
1852,4252,548
1853,4254,548
1854,4256,548
1855,4258,548
1856,4260,548
1857,4262,548
1858,4264,548
1859,4266,548
1860,4268,548
1861,4270,548
1862,4272,548
1863,4274,548
1864,4276,548
1865,4278,548
1866,4280,548
1867,4282,548
1868,4284,548
1869,4286,548
1870,4288,548
1871,4290,548
1872,4292,548
1873,4294,548
1874,4296,548
1875,4298,548
1876,4300,548
1877,4302,548
1878,4304,548
1879,4306,548
1880,4308,548
1881,4310,548
1882,4312,548
1883,4314,548
1884,4316,548
1885,4318,548
1886,4320,548
1887,4322,548
1888,4324,548
1889,4326,548
1890,4328,548
1891,4330,548
1892,4332,548
1893,4334,548
